2025-09-11 17:32:49,430 - INFO - ============================================================
2025-09-11 17:32:49,431 - INFO - SISTEMA DE LOGGING INICIALIZADO
2025-09-11 17:32:49,431 - INFO - Archivo de log: logs/traffic_sim_20250911_173249.log
2025-09-11 17:32:49,431 - INFO - Nivel de logging: INFO
2025-09-11 17:32:49,431 - INFO - ============================================================
2025-09-11 17:32:49,714 - INFO - Creados 66 semáforos en total
2025-09-11 17:32:49,715 - INFO - Simulación inicializada correctamente
2025-09-11 17:32:49,715 - INFO - Configuración: 1600x1000
2025-09-11 17:32:49,715 - INFO - Calles creadas: 51
2025-09-11 17:32:49,715 - INFO - Semáforos instalados: 66
2025-09-11 17:32:49,715 - INFO - Edificios: 25
2025-09-11 17:32:49,715 - INFO - Hora inicial: 08:00
2025-09-11 17:32:57,988 - INFO - [17:32:57] SEMÁFORO (800,700) -> AMARILLO
2025-09-11 17:32:58,036 - INFO - [17:32:58] SEMÁFORO (800,400) -> AMARILLO
2025-09-11 17:32:58,325 - INFO - [17:32:58] SEMÁFORO (1400,200) -> ROJO
2025-09-11 17:32:58,389 - INFO - [17:32:58] SEMÁFORO (200,720) -> ROJO
2025-09-11 17:32:58,422 - INFO - [17:32:58] SEMÁFORO (400,520) -> ROJO
2025-09-11 17:32:58,501 - INFO - [17:32:58] SEMÁFORO (1000,400) -> AMARILLO
2025-09-11 17:32:58,566 - INFO - [17:32:58] SEMÁFORO (1000,600) -> ROJO
2025-09-11 17:32:58,566 - INFO - [17:32:58] SEMÁFORO (1400,400) -> AMARILLO
2025-09-11 17:32:58,566 - INFO - [17:32:58] SEMÁFORO (600,340) -> AMARILLO
2025-09-11 17:32:58,777 - INFO - [17:32:58] SEMÁFORO (700,600) -> ROJO
2025-09-11 17:32:58,777 - INFO - [17:32:58] SEMÁFORO (800,300) -> AMARILLO
2025-09-11 17:32:58,793 - INFO - [17:32:58] SEMÁFORO (500,500) -> AMARILLO
2025-09-11 17:32:58,825 - INFO - [17:32:58] SEMÁFORO (1100,200) -> ROJO
2025-09-11 17:32:58,825 - INFO - [17:32:58] SEMÁFORO (500,100) -> ROJO
2025-09-11 17:32:58,841 - INFO - [17:32:58] NUEVO AUTO - AUTO_4461 en (300,73)
2025-09-11 17:32:58,857 - INFO - [17:32:58] SEMÁFORO (500,600) -> ROJO
2025-09-11 17:32:58,890 - INFO - [17:32:58] SEMÁFORO (1100,500) -> ROJO
2025-09-11 17:32:58,986 - INFO - [17:32:58] SEMÁFORO (200,200) -> ROJO
2025-09-11 17:32:59,035 - INFO - [17:32:59] SEMÁFORO (1100,300) -> ROJO
2025-09-11 17:32:59,066 - INFO - [17:32:59] SEMÁFORO (100,600) -> ROJO
2025-09-11 17:32:59,098 - INFO - [17:32:59] SEMÁFORO (500,300) -> ROJO
2025-09-11 17:32:59,114 - INFO - [17:32:59] SEMÁFORO (1100,100) -> AMARILLO
2025-09-11 17:32:59,195 - INFO - [17:32:59] SEMÁFORO (700,200) -> ROJO
2025-09-11 17:32:59,211 - INFO - [17:32:59] SEMÁFORO (300,100) -> AMARILLO
2025-09-11 17:32:59,275 - INFO - [17:32:59] SEMÁFORO (900,400) -> AMARILLO
2025-09-11 17:32:59,387 - INFO - [17:32:59] SEMÁFORO (300,300) -> ROJO
2025-09-11 17:32:59,403 - INFO - [17:32:59] SEMÁFORO (300,400) -> ROJO
2025-09-11 17:32:59,435 - INFO - [17:32:59] SEMÁFORO (1100,600) -> AMARILLO
2025-09-11 17:32:59,436 - INFO - [17:32:59] SEMÁFORO (200,400) -> AMARILLO
2025-09-11 17:32:59,451 - INFO - [17:32:59] SEMÁFORO (900,600) -> ROJO
2025-09-11 17:32:59,581 - INFO - [17:32:59] SEMÁFORO (1400,600) -> ROJO
2025-09-11 17:32:59,613 - INFO - [17:32:59] SEMÁFORO (300,700) -> ROJO
2025-09-11 17:32:59,949 - INFO - [17:32:59] SEMÁFORO (300,500) -> AMARILLO
2025-09-11 17:32:59,965 - INFO - [17:32:59] SEMÁFORO (800,500) -> ROJO
2025-09-11 17:32:59,996 - INFO - [17:32:59] SEMÁFORO (200,600) -> ROJO
2025-09-11 17:33:00,045 - INFO - [17:33:00] SEMÁFORO (300,800) -> ROJO
2025-09-11 17:33:00,174 - INFO - [17:33:00] SEMÁFORO (100,200) -> ROJO
2025-09-11 17:33:00,237 - INFO - [17:33:00] NUEVO COMBI - COMBI_2048 en (1100,1)
2025-09-11 17:33:00,238 - WARNING - 🚨 ALERTA: Congestión CRÍTICA en ESTE (83.3%)
2025-09-11 17:33:00,318 - INFO - [17:33:00] SEMÁFORO (1200,400) -> AMARILLO
2025-09-11 17:33:00,335 - INFO - [17:33:00] SEMÁFORO (900,200) -> ROJO
2025-09-11 17:33:00,401 - INFO - [17:33:00] SEMÁFORO (500,800) -> AMARILLO
2025-09-11 17:33:00,416 - INFO - [17:33:00] SEMÁFORO (500,400) -> AMARILLO
2025-09-11 17:33:00,450 - INFO - [17:33:00] SEMÁFORO (1200,600) -> AMARILLO
2025-09-11 17:33:00,497 - INFO - [17:33:00] SEMÁFORO (800,200) -> AMARILLO
2025-09-11 17:33:00,514 - INFO - [17:33:00] SEMÁFORO (700,350) -> ROJO
2025-09-11 17:33:00,609 - INFO - [17:33:00] SEMÁFORO (300,600) -> AMARILLO
2025-09-11 17:33:00,609 - INFO - [17:33:00] SEMÁFORO (800,800) -> ROJO
2025-09-11 17:33:00,609 - INFO - [17:33:00] SEMÁFORO (400,320) -> AMARILLO
2025-09-11 17:33:00,625 - INFO - [17:33:00] SEMÁFORO (600,200) -> ROJO
2025-09-11 17:33:00,642 - INFO - [17:33:00] SEMÁFORO (1300,600) -> ROJO
2025-09-11 17:33:00,705 - INFO - [17:33:00] SEMÁFORO (500,700) -> AMARILLO
2025-09-11 17:33:00,883 - INFO - [17:33:00] SEMÁFORO (1300,200) -> AMARILLO
2025-09-11 17:33:00,964 - INFO - [17:33:00] SEMÁFORO (1100,800) -> ROJO
2025-09-11 17:33:00,996 - INFO - [17:33:00] SEMÁFORO (1000,200) -> ROJO
2025-09-11 17:33:00,996 - INFO - [17:33:00] SEMÁFORO (800,700) -> ROJO
2025-09-11 17:33:01,012 - INFO - [17:33:01] SEMÁFORO (1300,400) -> AMARILLO
2025-09-11 17:33:01,028 - INFO - [17:33:01] SEMÁFORO (300,200) -> AMARILLO
2025-09-11 17:33:01,043 - INFO - [17:33:01] SEMÁFORO (800,400) -> ROJO
2025-09-11 17:33:01,124 - INFO - [17:33:01] SEMÁFORO (100,400) -> AMARILLO
2025-09-11 17:33:01,172 - INFO - [17:33:01] NUEVO TAXI - TAXI_5101 en (800,89)
2025-09-11 17:33:01,173 - INFO - [17:33:01] SEMÁFORO (800,600) -> AMARILLO
2025-09-11 17:33:01,204 - INFO - [17:33:01] SEMÁFORO (600,600) -> AMARILLO
2025-09-11 17:33:01,220 - INFO - [17:33:01] SEMÁFORO (600,500) -> AMARILLO
2025-09-11 17:33:01,513 - INFO - [17:33:01] SEMÁFORO (1000,400) -> ROJO
2025-09-11 17:33:01,528 - INFO - [17:33:01] SEMÁFORO (1100,700) -> AMARILLO
2025-09-11 17:33:01,576 - INFO - [17:33:01] SEMÁFORO (1400,400) -> ROJO
2025-09-11 17:33:01,577 - INFO - [17:33:01] SEMÁFORO (600,340) -> ROJO
2025-09-11 17:33:01,593 - INFO - [17:33:01] SEMÁFORO (1100,400) -> AMARILLO
2025-09-11 17:33:01,593 - INFO - [17:33:01] SEMÁFORO (700,400) -> AMARILLO
2025-09-11 17:33:01,609 - INFO - [17:33:01] SEMÁFORO (500,200) -> AMARILLO
2025-09-11 17:33:01,786 - INFO - [17:33:01] SEMÁFORO (800,300) -> ROJO
2025-09-11 17:33:01,802 - INFO - [17:33:01] SEMÁFORO (500,500) -> ROJO
2025-09-11 17:33:02,124 - INFO - [17:33:02] SEMÁFORO (1100,100) -> ROJO
2025-09-11 17:33:02,221 - INFO - [17:33:02] SEMÁFORO (300,100) -> ROJO
2025-09-11 17:33:02,284 - INFO - [17:33:02] SEMÁFORO (900,400) -> ROJO
2025-09-11 17:33:02,365 - INFO - [17:33:02] NUEVO AUTO - AUTO_9708 en (300,80)
2025-09-11 17:33:02,445 - INFO - [17:33:02] SEMÁFORO (1100,600) -> ROJO
2025-09-11 17:33:02,445 - INFO - [17:33:02] SEMÁFORO (200,400) -> ROJO
2025-09-11 17:33:02,816 - INFO - [17:33:02] SEMÁFORO (700,600) -> VERDE
2025-09-11 17:33:02,961 - INFO - [17:33:02] SEMÁFORO (300,500) -> ROJO
2025-09-11 17:33:02,977 - INFO - [17:33:02] SEMÁFORO (400,520) -> VERDE
2025-09-11 17:33:02,992 - INFO - [17:33:02] SEMÁFORO (1200,200) -> VERDE
2025-09-11 17:33:03,329 - INFO - [17:33:03] SEMÁFORO (1200,400) -> ROJO
2025-09-11 17:33:03,411 - INFO - [17:33:03] SEMÁFORO (500,800) -> ROJO
2025-09-11 17:33:03,427 - INFO - [17:33:03] SEMÁFORO (500,400) -> ROJO
2025-09-11 17:33:03,459 - INFO - [17:33:03] SEMÁFORO (1200,600) -> ROJO
2025-09-11 17:33:03,507 - INFO - [17:33:03] SEMÁFORO (800,200) -> ROJO
2025-09-11 17:33:03,572 - INFO - [17:33:03] SEMÁFORO (600,400) -> VERDE
2025-09-11 17:33:03,620 - INFO - [17:33:03] SEMÁFORO (300,600) -> ROJO
